Variable ID;m/z;RT;Class;Fish;clarkii1norm;Peak YES/NO;Comment
X1124.pos;494.3246648;4.85;Unknown;all fish;225.2829007;YES;beginning of peak a bit noisy, double peak
X1128.pos;93.04416291;2.09;Unknown;all fish;320.357246;YES;
X113.pos;245.1816245;4.05;;Clownfish;19.89668144;NO;
X1130.pos;156.0407103;1.22;Unknown;Clownfish;11.25095262;NO;
X1138.pos;401.1066192;12.19;Unknown;all fish;148.4000022;YES;tailing (end of peak dragged)
X1139.pos;257.1136469;1.23;Unknown;all fish;52.83440311;YES;
X1141.pos;258.9299385;4.88;Unknown;all fish;319.7520682;NO;
X1149.pos;130.1597125;1.89;Unknown;all fish;16667.91668;YES;
X1150.pos;266.1963744;4.91;Unknown;all fish;33.76922049;YES;
X1155.pos;212.0931517;1.12;Unknown;all fish;104.4153679;YES;
X1156.pos;116.1071092;3.1;Unknown;Clownfish;4032.272508;YES;
X1157.pos;222.149642;3.66;Unknown;Clownfish;17.34213802;NO;
X1159.pos;361.1827839;9.14;Unknown;all fish;14.19712969;NO;
X1160.pos;126.1030426;7.84;Amines;all fish;0.001392453;NO;
X1161.pos;196.0964639;7.62;Unknown;Clownfish;0.001271329;YES;
X1166.pos;79.0204377;1.19;Unknown;all fish;32.17957735;YES;
X117.pos;673.1692875;9.13;Unknown;Clownfish;0.001364324;NO;
X1170.pos;127.0724874;4.72;Unknown;all fish;336.468762;YES;
X1173.pos;285.1270714;1.96;Unknown;Clownfish;3.719522233;NO;
X1174.pos;225.9881468;11.45;Unknown;all fish;384.7899442;NO;
X1175.pos;208.1344175;5.02;Unknown;Clownfish;11.10510213;NO;
X1178.pos;181.035545;1.03;Unknown;all fish;1.512747656;NO;
X1180.pos;265.0166295;11.44;Unknown;all fish;317.717874;NO;
X1182.pos;284.1229185;2.01;Unknown;Clownfish;6.847608789;NO;
X1183.pos;134.0635419;1.02;Unknown;all fish;25.53008189;NO;
X1184.pos;304.3008047;1.24;Unknown;Clownfish;19.85722001;NO;
X1186.pos;120.0805872;4.94;Unknown;all fish;26.99006559;NO;
X1188.pos;116.1072457;8.85;Unknown;all fish;61.40624004;YES;
X119.pos;180.1026939;4.97;Unknown;Clownfish;423.2552163;YES;
X1192.pos;289.140255;8.73;Unknown;all fish;763.8617235;YES;
X1195.pos;236.1660752;3.14;Unknown;Clownfish;82.652362;NO;
X1196.pos;237.1684046;3.13;Unknown;Clownfish;13.37553778;NO;
X1197.pos;144.9819554;2.12;Unknown;all fish;167.3462924;NO;
X1198.pos;210.1495203;4.33;;Clownfish;16.57132564;NO;
X1199.pos;152.0743188;7.8;Unknown;Clownfish;12.19072641;NO;
X12.pos;384.1341128;2.03;Peptide;Damselfish;2.395695458;NO;
X120.pos;605.182574;9.13;Unknown;Clownfish;1.990803174;NO;
X1200.pos;255.945076;12.29;Unknown;all fish;106.587365;NO;
X1202.pos;192.0788967;5.98;Unknown;Clownfish;1.662279571;NO;
X1203.pos;104.1067259;3.07;;Clownfish;9475.09724;YES;
X1204.pos;180.0881698;3.11;Unknown;all fish;59.01681639;YES;
X1206.pos;172.1332428;5.24;Unknown;Clownfish;0.001360062;NO;
X1209.pos;476.3067454;1.64;Unknown;all fish;623.8082538;NO;
X121.pos;137.0708663;6.92;Unknown;Clownfish;217.7126565;YES;
X1210.pos;84.95978544;12.28;Unknown;all fish;163.6361214;NO;
X1212.pos;172.133401;8.44;Unknown;all fish;233.2427853;YES;
X1215.pos;274.9039112;4.87;Unknown;all fish;274.7772858;NO;
X1216.pos;286.2022924;3.27;Unknown;Clownfish;18.54067945;NO;
X1217.pos;355.1551659;10.41;Unknown;all fish;21.22132157;YES;
X1218.pos;162.1133667;7;Unknown;Clownfish;501.9393645;YES;at RT 6.86
X122.pos;212.1263641;8.4;Unknown;Clownfish;753.2992972;NO;
X1220.pos;176.1288049;7.17;Unknown;Clownfish;13.72404527;NO;
X1222.pos;155.1547671;1.87;Unknown;all fish;157.1991288;YES;
X1228.pos;182.0791626;9.31;Unknown;all fish;3.386857556;NO;
X123.pos;434.1926908;6.9;Unknown;all fish;117.1049793;YES;
X1231.pos;105.953976;1.3;Unknown;all fish;33.17078909;NO;
X1232.pos;166.0864861;2.75;Benzoids;all fish;59.66797746;NO;
X1236.pos;130.1591187;2.13;Unknown;Damselfish;1684.358361;YES;double peak
X1238.pos;381.0793108;8.7;Unknown;all fish;58.42885217;YES;
X1242.pos;250.1816442;2.66;Unknown;Clownfish;4.59884016;NO;
X1243.pos;760.5852571;3.54;Unknown;all fish;49.05902149;YES;
X1247.pos;474.8333567;12.29;Unknown;all fish;326.6677622;YES;
X125.pos;280.0937186;9.13;Unknown;Clownfish;1355.629977;YES;
X1251.pos;337.9698573;11.45;Unknown;all fish;436.2047171;NO;
X1254.pos;190.1441716;4.6;Unknown;Clownfish;2.692275629;NO;
X1257.pos;251.184314;2.64;Unknown;Clownfish;2.66143241;NO;
X1259.pos;176.0923292;2.65;Unknown;Clownfish;2.389989651;NO;noise
X126.pos;545.1813347;9.13;Unknown;Clownfish;0.00140804;NO;noise
X1260.pos;520.3324192;1.73;Unknown;all fish;387.809572;YES;
X1262.pos;155.1064164;0.81;Unknown;all fish;76.74565199;NO;contamination
X1264.pos;118.0864353;10.37;Unknown;all fish;463.1933609;NO;contamination
X1265.pos;184.1452913;4.86;Unknown;all fish;27.42592271;NO;
X1267.pos;226.1810753;1.03;Unknown;all fish;707.9252349;YES;
X1273.pos;198.1489465;1.05;Unknown;all fish;47.5259219;YES;
X1274.pos;214.9183416;12.29;Unknown;all fish;1484.535613;YES;
X1275.pos;296.1495218;4.79;Unknown;Clownfish;12.31674974;YES;
X1282.pos;365.1065361;8.69;Unknown;all fish;1534.476318;YES;
X1283.pos;604.791181;12.28;Unknown;all fish;114.2489;YES;
X1284.pos;198.1863218;1.02;Unknown;all fish;97.86309386;YES;
X1285.pos;462.2235557;5.07;Unknown;all fish;2107.624478;YES;
X1289.pos;298.1808772;1.3;Unknown;all fish;37.21520004;YES;
X1290.pos;186.2218686;1.39;Unknown;all fish;114.3046902;YES;
X1292.pos;151.0356767;10.59;Unknown;all fish;218.8584566;NO;
X1295.pos;116.1073842;8.44;Unknown;all fish;290.2263386;YES;
X1298.pos;906.8243452;6.23;Unknown;all fish;306.0855632;NO;
X1299.pos;221.0173816;3.48;Unknown;all fish;42.04827869;NO;
X13.pos;386.1344027;2.02;Peptide;Damselfish;2.263728688;NO;
X1302.pos;344.8763668;12.29;Unknown;all fish;482.0322781;YES;
X1305.pos;174.1129205;6.02;Unknown;Clownfish;0.001376462;NO;
X1310.pos;284.3318933;1.25;Unknown;all fish;27.02594391;YES;
X1313.pos;110.0086842;10.52;Unknown;all fish;133.1171648;NO;
X1314.pos;274.1408229;4.3;;Clownfish;1.967448807;NO;
X132.pos;109.0762643;7.02;Unknown;Clownfish;956.0485083;YES;
X1320.pos;144.9818937;1.76;Unknown;all fish;533.5793522;NO;contamination
X1321.pos;249.0989877;4.3;;Clownfish;44.04204744;NO;
X1326.pos;248.0960588;4.33;;Clownfish;295.9387278;YES;
X1330.pos;496.3406776;4.42;;all fish;2999.906307;NO;beginning of peak which is at 4.8
X1334.pos;125.1122415;8.81;Unknown;all fish;112.0424631;YES;
X1335.pos;280.1553506;3.92;;Clownfish;47.64225242;YES;double peak
X1336.pos;150.0555514;1.02;Unknown;all fish;2444.678354;YES;
X1337.pos;476.3067173;1.13;Unknown;all fish;435.7907732;NO;
X1340.pos;540.8377218;11.8079;Unknown;all fish;54.76191217;YES;double peak
X1341.pos;510.3934769;4.41;;all fish;56.89836999;NO;
X1342.pos;125.1075972;3.06;Unknown;all fish;12.85490298;NO;
X1343.pos;482.3609634;4.57;Glycerophospholipids;all fish;330.9622135;YES;
X1344.pos;319.165578;4.18;;Clownfish;16.52684719;YES;
X1348.pos;106.0861826;6.04;Unknown;all fish;533.6472485;YES;
X135.pos;312.1967273;1.27;Unknown;all fish;8.699820143;NO;
X1355.pos;566.8881234;6.2;Unknown;all fish;368.5161463;NO;
X1356.pos;170.1180819;1.12;Unknown;all fish;54.10845145;YES;
X1365.pos;328.139448;2.73;Unknown;all fish;119.9502304;NO;
X1372.pos;224.9912941;11.45;Unknown;all fish;713.181489;NO;
X1382.pos;142.122927;1.12;Unknown;all fish;104.2215567;YES;
X1383.pos;122.0726838;2.36;Unknown;all fish;443.4271627;YES;
X14.pos;189.0765636;2.05;Unknown;Damselfish;462.4212039;YES;
X1401.pos;510.355459;4.8;Unknown;all fish;132.088817;YES;
X1409.pos;326.2112467;1.22;Unknown;all fish;20.32305688;YES;
X141.pos;176.1034038;11.77;amino acids and derivatives;Clownfish;8.995011615;NO;
X1410.pos;430.9141158;6.2;Unknown;all fish;417.4801816;NO;
X1411.pos;289.0774874;8.19;Unknown;all fish;501.6262092;YES;
X142.pos;164.0712236;4.72;Benzoids;all fish;8.775579049;NO;
X144.pos;168.1208423;7.33;Unknown;Clownfish;3.678547537;NO;
X145.pos;161.1004822;6.84;Unknown;Clownfish;4.967226145;NO;
X148.pos;104.10829;4.08;;all fish;87931.49836;YES;
X149.pos;143.0813227;4.55;amino acids and derivatives;all fish;3.837587551;NO;peak at 7.5 for this m/z
X15.pos;111.0437527;2.06;Unknown;Damselfish;17.61558555;NO;
X151.pos;169.0979291;4.91;Unknown;all fish;4.653065113;YES;
X153.pos;182.0791825;6.8;Unknown;all fish;97.58445395;YES;double peak
X155.pos;549.1957431;9.15;Unknown;Clownfish;0.001384989;NO;
X16.pos;125.05964;2.06;Phenol;Damselfish;10.79528232;NO;
X160.pos;138.0554833;1.01;Unknown;all fish;278.0854095;YES;
X162.pos;675.5433575;4.57;Glycerophospholipids;Damselfish;49.15066667;YES;
X163.pos;241.1554419;6.74;amino acids and derivatives;Clownfish;351.1119022;YES;
X165.pos;165.0261735;3.29;Unknown;Clownfish;12.11732922;NO;
X166.pos;153.1388185;3.28;Unknown;all fish;111.6602978;YES;
X169.pos;104.1071828;9.14;Unknown;Clownfish;1122.913888;YES;
X171.pos;463.9793443;6.87;Unknown;Clownfish;396.4994969;YES;double peak
X172.pos;177.0643573;7.01;Unknown;Clownfish;1473.479561;YES;tailing (end of peak dragged)
X173.pos;413.1875211;7.29;Unknown;Clownfish;0.188927064;NO;
X174.pos;204.0658116;1.3;Unknown;all fish;56.79971217;YES;
X175.pos;98.98425883;9.13;Unknown;all fish;12.75872573;NO;
X178.pos;184.0740955;9.13;Unknown;Clownfish;17.28201494;NO;
X181.pos;214.0869885;1.01;Unknown;all fish;33.30612933;YES;
X184.pos;229.1553259;6.8;Peptides;Clownfish;643.1667612;YES;
X185.pos;356.0807242;9.61;Unknown;Clownfish;95.69406803;YES;
X187.pos;475.259259;1.25;Unknown;all fish;0.001378572;NO;
X188.pos;306.0889843;9.13;Unknown;all fish;29.66699461;NO;
X189.pos;325.1380812;7.01;Unknown;Clownfish;0.001393011;NO;peak at 7.8 for this m/z
X19.pos;126.0308048;2.06;Unknown;Damselfish;5.868560595;NO;
X192.pos;152.0715908;6.99;Unknown;Clownfish;849.8604583;YES;
X195.pos;288.2035682;9.08;Peptides;Damselfish;46.20181966;NO;
X198.pos;279.2553209;9.95;Unknown;Damselfish;157.2309171;YES;
X199.pos;153.066206;1.63;Unknown;Clownfish;484.6203356;YES;
X2.pos;406.1165495;2.04;Unknown;Damselfish;0.446935212;NO;
X20.pos;432.1132286;2.03;Peptide;Damselfish;0.69100406;NO;
X202.pos;281.270579;9.6;Unknown;Clownfish;5.207541062;NO;
X204.pos;162.1135959;7.68;Unknown;Clownfish;37.1128432;NO;
X205.pos;192.0252901;8.72;Unknown;Damselfish;8.479675051;NO;
X206.pos;262.1466176;8.37;Unknown;Damselfish;0.419513476;NO;
X207.pos;365.1062246;9.33;Unknown;all fish;19.08541656;NO;peak at RT 8.7
X21.pos;434.1129873;2.03;Unknown;Damselfish;0.32955177;NO;
X212.pos;260.1284108;1.02;Unknown;all fish;40.50319609;YES;
X214.pos;346.2031864;7.29;Unknown;Clownfish;0.08658488;NO;
X215.pos;171.1134909;4.94;Unknown;Clownfish;2.907340233;NO;
X217.pos;221.0196924;9.12;Unknown;Clownfish;46.91350627;YES;
X218.pos;236.150622;8.39;Unknown;Damselfish;16.49909972;NO;
X22.pos;233.0839202;2.03;Unknown;Damselfish;13.10704565;NO;
X220.pos;173.0815763;1.04;Unknown;all fish;33.08315134;NO;
X222.pos;258.1319756;8.38;Unknown;Damselfish;7.132139807;NO;
X224.pos;269.1071969;1.14;Unknown;all fish;5.684189062;NO;
X227.pos;157.134364;4.32;;all fish;3.638785318;NO;
X23.pos;141.0544399;2.06;Unknown;Damselfish;44.66337718;NO;
X232.pos;157.0495874;4.9;Unknown;Clownfish;0.001358032;NO;
X233.pos;160.1343437;4.61;Unknown;Clownfish;18384.77933;YES;
X234.pos;179.0792886;7.07;Unknown;Clownfish;4.803225605;NO;
X235.pos;345.2007629;7.27;Unknown;Clownfish;0.097316174;NO;
X237.pos;397.2134787;7.32;Unknown;Clownfish;0.001359181;NO;
X238.pos;152.1476491;4.47;;Damselfish;30.58480298;NO;
X241.pos;280.2576022;9.99;Unknown;Damselfish;23.8833187;NO;
X244.pos;610.9759438;6.87;Unknown;Clownfish;282.8144172;YES;double peak
X245.pos;218.1541509;2.31;Unknown;Clownfish;285.8040238;NO;
X246.pos;216.1408891;8.58;Unknown;Clownfish;133.6704314;NO;
X247.pos;293.2705601;9.88;Unknown;Clownfish;9.049858843;NO;
X248.pos;477.2085054;9.1;Unknown;Clownfish;3.42646508;NO;
X25.pos;423.0866445;2.04;Unknown;Damselfish;1.792708455;NO;
X254.pos;205.0710265;4.9;Unknown;all fish;2.534922273;NO;
X257.pos;129.1386216;12.2;Unknown;all fish;8363.384765;NO;
X258.pos;276.101778;4.49;Unknown;Clownfish;56.86464419;NO;
X259.pos;126.0221487;6.88;amino acids and derivatives;Clownfish;246.9473887;YES;
X26.pos;411.1272333;2.01;Unknown;Damselfish;3.649538534;NO;
X260.pos;271.1299633;1.9;Unknown;Damselfish;19.57140281;NO;
X266.pos;121.0884664;4.96;Unknown;Clownfish;5.837668606;NO;
X269.pos;625.2064852;8.3;Unknown;all fish;12.2882602;NO;
X271.pos;143.1547886;12.05;Unknown;Clownfish;327.1718836;NO;
X272.pos;101.0705782;7.66;Unknown;Clownfish;44.13895458;YES;
X276.pos;329.2269987;7.32;Unknown;Clownfish;0.001346289;NO;
X277.pos;136.1124935;3.28;Unknown;all fish;213.8734874;YES;
X278.pos;225.0644555;8.21;Unknown;Clownfish;28.94827869;NO;
X28.pos;433.1089636;2.03;Unknown;Damselfish;1.678376613;NO;
X283.pos;126.1274854;12.06;Unknown;Clownfish;1237.08522;YES;
X285.pos;241.1186106;1.22;Unknown;all fish;21.77051781;NO;
X286.pos;159.0771668;8.2;Unknown;all fish;22.57301748;NO;
X29.pos;424.0902317;2.05;Unknown;Damselfish;0.787574211;NO;
X293.pos;757.9724881;6.87;Unknown;Clownfish;173.6082386;YES;double peak
X294.pos;250.0963534;8.76;Unknown;all fish;0.281916509;NO;
X3.pos;397.1107476;2.09;Unknown;Damselfish;1.221232026;NO;
X30.pos;422.0907098;2.04;Unknown;Damselfish;0.459880616;NO;
X300.pos;693.5540656;4.78;Unknown;Damselfish;34.26698165;NO;
X306.pos;180.1019543;4.51;Unknown;Clownfish;252.6117326;YES;
X307.pos;169.0497084;1.06;Unknown;Clownfish;2.794370259;NO;
X309.pos;603.2250652;8.3;Unknown;all fish;88.01750715;YES;
X31.pos;412.1307182;2;Unknown;Damselfish;1.640113304;NO;
X311.pos;181.0585563;8.21;Unknown;all fish;3.812907236;NO;
X315.pos;909.3662488;8.29;Unknown;all fish;6.57686499;NO;
X316.pos;523.1991859;9.14;Unknown;Clownfish;0.001395143;NO;
X317.pos;528.3078011;4.87;Unknown;all fish;48.47142784;NO;
X318.pos;323.2187532;7.29;Unknown;Clownfish;0.084570594;NO;
X319.pos;211.1064632;7.58;Unknown;Damselfish;4.585772062;NO;
X32.pos;425.087355;2.05;Unknown;Damselfish;0.595577492;NO;
X325.pos;386.2916641;3.69;Unknown;all fish;4.480374205;NO;
X326.pos;109.0767436;8.74;Unknown;all fish;0.001389925;NO;peak at RT 7.0
X328.pos;173.0306151;8.01;Unknown;all fish;5.393412585;NO;peak at RT 7.7
X329.pos;223.1085358;1.23;Unknown;all fish;3.130231249;NO;
X33.pos;448.0865762;2.03;Unknown;Damselfish;0.10181097;NO;
X331.pos;212.1403998;8.79;Unknown;Clownfish;849.230262;NO;
X333.pos;629.2212811;8.3;Unknown;all fish;15.10998514;NO;
X335.pos;407.1191431;4.88;Unknown;Clownfish;104.335647;NO;
X337.pos;283.0701674;8.19;Unknown;all fish;374.6686238;YES;
X338.pos;168.1513885;8.74;Unknown;all fish;0.001255911;NO;
X339.pos;252.1088874;8.3;Unknown;all fish;19.73532576;NO;
X34.pos;449.0827882;2.03;Unknown;Damselfish;0.635362931;NO;
X341.pos;931.3480514;8.3;Unknown;all fish;8.794575608;NO;
X342.pos;445.0739612;4.88;Unknown;Clownfish;0.183090126;NO;
X348.pos;423.1703379;4.3;;Clownfish;109.0300214;YES;
X35.pos;138.0554446;4.98;alkaloide;Clownfish;161.5505616;NO;
X353.pos;887.3850792;8.29;Unknown;all fish;6.590686109;;
X354.pos;187.0463321;7.47;Unknown;Clownfish;115.9735258;;
X355.pos;222.0203465;3.08;Unknown;Clownfish;2395.016724;;
X357.pos;293.1117641;8.3;Unknown;all fish;676.694118;;
X36.pos;410.1310899;2.02;Unknown;Damselfish;1.761060751;;
X362.pos;271.1101298;8.18;Unknown;all fish;40.60402538;;
X363.pos;189.1609403;9.92;Unknown;all fish;366.8293583;;
X365.pos;232.0979384;1.75;Unknown;all fish;290.5858043;;
X372.neg;202.8219214;5.94;Unknown;all fish;30.42361641;;
X375.pos;267.0964566;8.19;Unknown;all fish;2278.799048;;
X377.pos;143.0820009;7.47;amino acids and derivatives;Clownfish;9444.216439;;
X378.pos;188.0719423;1.16;Unknown;all fish;11653.0171;;
X382.pos;233.1005988;1.72;Unknown;all fish;39.7993678;;
X383.pos;324.221818;7.29;Unknown;Clownfish;0.001191273;;
X384.neg;206.0833203;0.89;Unknown;all fish;267.4664527;;
X384.pos;165.0637217;7.47;Unknown;Clownfish;702.6886533;;
X385.neg;206.8467801;6.85;Unknown;all fish;135.9292853;;
X386.pos;530.3237486;4.84;Unknown;all fish;59.73466602;;
X389.neg;207.0132632;1.97;Unknown;Clownfish;487.7715075;;
X389.pos;136.0617168;3.64;Unknown;all fish;3649.341693;;
X390.neg;207.071049;0.92;Unknown;all fish;31.48663504;;
X391.pos;643.2177719;8.3;Unknown;all fish;84.56132688;;
X392.neg;208.0662244;2.41;Unknown;all fish;121.1807406;;
X393.pos;234.1227374;8.83;Unknown;all fish;0.00134324;;
X394.pos;260.1866042;3.52;Carnitines;Clownfish;75.31657643;;
X395.neg;208.9348527;6.9;Unknown;all fish;86.83336262;;
X396.pos;125.0960088;1.12;Unknown;all fish;37.43415606;;
X397.neg;208.9350989;8.55;Unknown;all fish;105.0953378;;
X399.neg;208.9624268;5.49;Unknown;all fish;22.49820986;;
X4.pos;408.1167792;2.04;Peptide;Damselfish;0.08152577;;
X40.pos;60.07998518;2.29;Unknown;Clownfish;0.001419054;;
X401.neg;209.0865939;0.89;Unknown;all fish;63.11762413;;
X402.neg;209.9520958;4.93;Unknown;all fish;79702.23349;;
X403.neg;210.9321144;6.12;Unknown;all fish;8.769719751;;
X403.pos;166.0865207;6.01;amino acids and derivatives;all fish;229.8012228;;
X404.neg;210.931994;8.58;Unknown;all fish;24.01654221;;
X406.neg;210.9517631;4.93;Unknown;all fish;18064.35924;;
X407.neg;211.9492835;4.93;Unknown;all fish;18543.08648;;
X408.pos;112.1121908;12.2;Unknown;all fish;5217.049504;;
X409.pos;172.1333929;4.97;Unknown;all fish;16.42828348;;
X41.pos;87.04412686;2.29;Unknown;Clownfish;0.291532457;;
X411.neg;213.1868184;0.94;Unknown;all fish;471.3604448;;
X411.pos;144.0805857;1.16;Unknown;all fish;48.17493207;;
X412.pos;172.1332359;2.32;Unknown;all fish;83.90641685;;
X413.pos;97.07563974;7.47;Unknown;Clownfish;213.3293164;;
X415.pos;235.1259381;8.75;Unknown;all fish;0.001431321;;
X416.neg;215.0339193;7.27;Unknown;all fish;47.77852703;;
X417.neg;215.8379816;4.77;Unknown;all fish;115.2456986;;
X420.neg;217.0180955;2.76;Unknown;all fish;154.671044;;
X420.pos;347.1197573;7.79;Unknown;all fish;91.90646726;;
X421.pos;144.0809166;3.74;Quinolines/Benzenoids;Clownfish;17.75054243;;
X422.neg;217.93119;6.64;Unknown;Clownfish;2833.905177;;
X422.pos;336.2262321;1.04;Unknown;all fish;5.009091016;;
X423.pos;111.0916156;6.91;Unknown;Clownfish;117.2058269;;
X424.neg;218.083058;0.93;Unknown;all fish;81.84977248;;
X424.pos;599.2548655;8.3;Unknown;all fish;439.9405407;;
X425.pos;621.2352278;8.3;Unknown;all fish;28.88590703;;
X426.pos;129.0661992;8.04;Unknown;all fish;23.0443146;;
X428.pos;146.165652;12.19;Amines;all fish;14311.93619;;
X432.neg;220.9291908;6.66;Unknown;Clownfish;231.8596841;;
X433.neg;220.9316631;5.9;Unknown;all fish;104.4989192;;
X434.neg;221.9257375;6.65;Unknown;Clownfish;568.2187647;;
X437.pos;131.1297286;9.4;Unknown;all fish;9.554797159;;
X439.neg;222.9298114;5.9;Unknown;all fish;125.2949419;;
X440.neg;222.977945;5.34;Unknown;all fish;191.247464;;
X442.neg;223.0210252;9.01;Unknown;all fish;386.7232565;;
X443.pos;480.3449921;4.58;Glycerophospholipids;all fish;65.09061052;;
X445.pos;245.1148579;8.19;Unknown;all fish;13658.84961;;
X447.pos;292.0745563;9.29;Unknown;Clownfish;33.0477503;;
X448.pos;116.1072941;9.18;Unknown;Clownfish;12.19692765;;
X449.pos;274.1165321;8.3;Unknown;all fish;121.2069918;;
X45.pos;76.0756628;4.47;Glycerophospholipids;Damselfish;85.56651037;;
X450.neg;224.9689528;4.17;;all fish;43.52760447;;
X450.pos;317.2124641;1.04;Unknown;all fish;17.8611198;;
X451.pos;262.2012017;4.35;;all fish;28.42823012;;
X453.neg;225.0817175;1.01;Unknown;all fish;1460.16845;;
X453.pos;534.2961473;4.84;Unknown;all fish;18.18999641;;
X454.neg;225.1870186;0.93;Unknown;all fish;127.3656838;;
X455.pos;116.1072876;4.14;;all fish;532.0026853;;
X456.pos;515.2131637;9.13;Unknown;Clownfish;0.239594269;;
X457.neg;225.9279673;4.98;Unknown;all fish;15.36660083;;
X457.pos;187.1090357;8.2;Unknown;Clownfish;390.6562589;;
X458.pos;904.969459;6.86;Unknown;Clownfish;79.39309956;;
X459.pos;486.152014;7.49;Unknown;Clownfish;0.001424074;;
X46.pos;151.1441545;4.47;Unknown;Damselfish;431.921456;;
