X1115.pos;164.1180784;5.99;Unknown;Clownfish;47.67197569;YES;;;;
X1119.pos;263.994082;1.91;Unknown;all fish;2146.923645;YES;;;;
X1120.pos;242.1178004;1.67;Unknown;all fish;85.59321678;YES;;;;
X1123.pos;259.129954;7.57;Unknown;all fish;463.282459;YES;;;;
X1124.pos;494.3246648;4.85;Unknown;all fish;225.2829007;YES;beginning of peak a bit noisy, double peak;;;
X1128.pos;93.04416291;2.09;Unknown;all fish;320.357246;YES;;;;
X113.pos;245.1816245;4.05;;Clownfish;19.89668144;NO;;;;
X1130.pos;156.0407103;1.22;Unknown;Clownfish;11.25095262;NO;;;;
X1138.pos;401.1066192;12.19;Unknown;all fish;148.4000022;YES;tailing (end of peak dragged);;;
X1139.pos;257.1136469;1.23;Unknown;all fish;52.83440311;YES;;;;
X1141.pos;258.9299385;4.88;Unknown;all fish;319.7520682;NO;;;;
X1149.pos;130.1597125;1.89;Unknown;all fish;16667.91668;YES;;;;
X1150.pos;266.1963744;4.91;Unknown;all fish;33.76922049;YES;;;;222.149642
X1155.pos;212.0931517;1.12;Unknown;all fish;104.4153679;YES;;;;361.1827839
X1156.pos;116.1071092;3.1;Unknown;Clownfish;4032.272508;YES;;;;126.1030426
X1157.pos;222.149642;3.66;Unknown;Clownfish;17.34213802;NO;;;;196.0964639
X1159.pos;361.1827839;9.14;Unknown;all fish;14.19712969;NO;;;;79.0204377
X1160.pos;126.1030426;7.84;Amines;all fish;0.001392453;NO;;;;673.1692875
X1161.pos;196.0964639;7.62;Unknown;Clownfish;0.001271329;YES;;;;127.0724874
X1166.pos;79.0204377;1.19;Unknown;all fish;32.17957735;YES;;;;285.1270714
X117.pos;673.1692875;9.13;Unknown;Clownfish;0.001364324;NO;;;;225.9881468
X1170.pos;127.0724874;4.72;Unknown;all fish;336.468762;YES;;;;208.1344175
X1173.pos;285.1270714;1.96;Unknown;Clownfish;3.719522233;NO;;;;181.035545
X1174.pos;225.9881468;11.45;Unknown;all fish;384.7899442;NO;;;;265.0166295
X1175.pos;208.1344175;5.02;Unknown;Clownfish;11.10510213;NO;;;;284.1229185
X1178.pos;181.035545;1.03;Unknown;all fish;1.512747656;NO;;;;134.0635419
X1180.pos;265.0166295;11.44;Unknown;all fish;317.717874;NO;;;;
X1182.pos;284.1229185;2.01;Unknown;Clownfish;6.847608789;NO;;;;
X1183.pos;134.0635419;1.02;Unknown;all fish;25.53008189;NO;;;;
X1184.pos;304.3008047;1.24;Unknown;Clownfish;19.85722001;NO;;;;
X1186.pos;120.0805872;4.94;Unknown;all fish;26.99006559;NO;;;;
X1188.pos;116.1072457;8.85;Unknown;all fish;61.40624004;YES;;;;
X119.pos;180.1026939;4.97;Unknown;Clownfish;423.2552163;YES;;;;
X1192.pos;289.140255;8.73;Unknown;all fish;763.8617235;YES;;;;
X1195.pos;236.1660752;3.14;Unknown;Clownfish;82.652362;NO;;;;
X1196.pos;237.1684046;3.13;Unknown;Clownfish;13.37553778;NO;;;;
X1197.pos;144.9819554;2.12;Unknown;all fish;167.3462924;NO;;;;
X1198.pos;210.1495203;4.33;;Clownfish;16.57132564;NO;;;;
X1199.pos;152.0743188;7.8;Unknown;Clownfish;12.19072641;NO;;;;
